Date,Close,p_up_next_5d,signal
2025-11-10,3020.0,0.46225241119185234,HOLD
2025-11-11,3084.0,0.4705692875164517,HOLD
2025-11-12,3062.0,0.46970632247322874,HOLD
2025-11-13,3046.0,0.4626844694378931,HOLD
2025-11-16,3040.0,0.5251343568696367,HOLD
2025-11-17,3010.0,0.5645113166044776,BUY
2025-11-18,3078.0,0.5007321019925385,HOLD
2025-11-19,3100.0,0.48739237409053393,HOLD
2025-11-20,3018.0,0.484010305424111,HOLD
2025-11-23,2964.0,0.5342856339422949,HOLD
2025-11-24,2924.0,0.5013821082224441,HOLD
2025-11-25,2900.0,0.55146013241638,BUY
2025-11-26,2912.0,0.5179478894792833,HOLD
2025-11-27,2910.0,0.49355720152285565,HOLD
2025-11-30,2980.0,0.4869072514133142,HOLD
2025-12-01,2950.0,0.4610061405048424,HOLD
2025-12-02,2918.0,0.5321227649261279,HOLD
2025-12-03,2960.0,0.4668190713936267,HOLD
2025-12-04,2950.0,0.5145112257303344,HOLD
2025-12-07,2914.0,0.5230370640758888,HOLD
2025-12-08,2930.0,0.49717679310290586,HOLD
2025-12-09,2926.0,0.5299267316825824,HOLD
2025-12-10,2938.0,0.5049028262868709,HOLD
2025-12-11,2940.0,0.5055237515066138,HOLD
2025-12-14,2914.0,0.5836611084515851,BUY
2025-12-15,2850.0,0.58476878451823,BUY
2025-12-16,2872.0,0.5267815318763649,HOLD
2025-12-17,2830.0,0.5882466447521404,BUY
2025-12-18,2824.0,0.563969149392606,BUY
2025-12-21,2888.0,0.4929095889147119,HOLD
2025-12-22,2900.0,0.45606107376061816,HOLD
2025-12-28,2954.0,0.460303439182291,HOLD
2025-12-29,2940.0,0.46671162936760574,HOLD
2026-01-04,2990.0,0.4869683572149451,HOLD
2026-01-05,3150.0,0.5460525948710988,HOLD
2026-01-06,3170.0,0.4810849197187471,HOLD
2026-01-07,3112.0,0.45967608572504015,HOLD
2026-01-08,3200.0,0.4654316485423834,HOLD
2026-01-11,3196.0,0.41472918435955103,HOLD
2026-01-12,3250.0,0.44873743671132504,HOLD
2026-01-13,3400.0,0.5110082463192342,HOLD
2026-01-14,3494.0,0.43893742439736977,HOLD
2026-01-15,3532.0,0.45466907188205946,HOLD
2026-01-18,3546.0,0.44875918590995917,HOLD
2026-01-19,3592.0,0.4560485850229832,HOLD
2026-01-20,3598.0,0.4081454201620279,HOLD
2026-01-21,3810.0,0.5262427129723752,HOLD
2026-01-22,3770.0,0.49199993788119484,HOLD
2026-01-25,3838.0,0.4504374902793416,HOLD
2026-01-26,3910.0,0.4707306644470413,HOLD
2026-01-27,3850.0,0.4051338940280205,HOLD
2026-01-28,3902.0,0.3924673366637166,HOLD
2026-01-29,3930.0,0.409452365865939,HOLD
